NEWID,NEWID2,COUNTRY,YEAR,COW,DATELEG,DATEEXEC,LEGELEC,EXELEC,SELTRANS,SELRUNOFF,SP1,SP2,SOBSDOM,SIEMASS,SF1,SF2,SF3,SA1,SA2,SREC,SR0STR,SR11CHEAT,SR13VIOL,SR12CAP,SR21CHEAT,SR23VIOL,SR22CAP,INTERCODER,REC_SCORE,PROBLEMS
2384,2383,Kuwait                      ,1996,690,(10) October,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,8,(0) Otherwise,(0) Otherwise,(1) Citizens do not have right to change government,(1) Citizens do not have freedom of association,(2) Right exists but some problems,1,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(3) High - major problems,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,4
2387,2386,Kuwait                      ,1999,690,(7) July,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,9,(0) Otherwise,(0) Otherwise,(1) Citizens do not have right to change government,(2) Right exists but some problems,(2) Right exists but some problems,1,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(3) High - major problems,(2) Moderate - moderate problems,(0) Good - no problems,(0) Good - no problems,NA,NA,NA,1,0,4
2391,2390,Kuwait                      ,2003,690,(7) July,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,13,(0) Otherwise,(0) Otherwise,(1) Citizens do not have right to change government,(2) Right exists but some problems,(2) Right exists but some problems,1,(2) Moderate - moderate problems,(1) One variable had to be reconciled,(3) High - major problems,(2) Moderate - moderate problems,(0) Good - no problems,(0) Good - no problems,(2) Moderate - moderate problems,(0) Good - no problems,(1) Low - minor problems only,0,0,4
2397,2396,Kyrgyzstan                  ,1995,703,(2) February,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,5,6,(1) Presence of Domestic Observers,(0) Otherwise,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,0.5,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(2) Moderate - moderate problems,(3) High - major problems,(0) Good - no problems,(0) Good - no problems,(2) Moderate - moderate problems,(0) Good - no problems,(1) Low - minor problems only,1,0,3
2398,2397,Kyrgyzstan                  ,1995,703,NA,(12) December,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,5,6,(1) Presence of Domestic Observers,(0) Otherwise,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,0.5,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(2) Moderate - moderate problems,(3) High - major problems,(0) Good - no problems,(0) Good - no problems,(2) Moderate - moderate problems,(0) Good - no problems,(1) Low - minor problems only,1,0,3
2403,2402,Kyrgyzstan                  ,2000,703,(3) March,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,17,(0) Otherwise,(1) Presence of International Observers,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,1,(3) High - major problems,"(0) No reconciliation, consensus",(2) Moderate - moderate problems,(3) High - major problems,NA,(0) Good - no problems,(3) High - major problems,(0) Good - no problems,(0) Good - no problems,0,0,5
2404,2403,Kyrgyzstan                  ,2000,703,NA,(10) October,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,NA,17,(0) Otherwise,(1) Presence of International Observers,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,1,(3) High - major problems,"(0) No reconciliation, consensus",(2) Moderate - moderate problems,(3) High - major problems,NA,(0) Good - no problems,(3) High - major problems,(0) Good - no problems,(0) Good - no problems,0,0,5
2423,2422,Laos                        ,1989,812,(3) March,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,1,(0) Otherwise,(0) Otherwise,(1) Citizens do not have right to change government,(1) Citizens do not have freedom of association,(1) Citizens do not have freedom of speech,1,(3) High - major problems,"(0) No reconciliation, consensus",(3) High - major problems,(3) High - major problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,5
2426,2425,Laos                        ,1992,812,(12) December,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,6,5,(0) Otherwise,(0) Otherwise,(1) Citizens do not have right to change government,(1) Citizens do not have freedom of association,(1) Citizens do not have freedom of speech,1,(3) High - major problems,(1) One variable had to be reconciled,(3) High - major problems,(2) Moderate - moderate problems,NA,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,2,0,5
2431,2430,Laos                        ,1997,812,(12) December,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,NA,NA,5,(0) Otherwise,(0) Otherwise,(1) Citizens do not have right to change government,(1) Citizens do not have freedom of association,(1) Citizens do not have freedom of speech,1,(2) Moderate - moderate problems,(1) One variable had to be reconciled,(0) Good - no problems,(3) High - major problems,NA,(2) Moderate - moderate problems,NA,NA,NA,0,0,4
2436,2435,Laos                        ,2002,812,(2) February,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,5,(0) Otherwise,(0) Otherwise,(1) Citizens do not have right to change government,(1) Citizens do not have freedom of association,(1) Citizens do not have freedom of speech,1,(3) High - major problems,"(0) No reconciliation, consensus",(3) High - major problems,(3) High - major problems,NA,(0) Good - no problems,NA,NA,NA,0,0,5
2441,2440,Latvia                      ,1993,367,(6) June,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,4,5,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(1) Low - minor problems only,(1) One variable had to be reconciled,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,1
2443,2442,Latvia                      ,1995,367,(10) October,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,5,4,(0) Otherwise,(1) Presence of International Observers,(3) Citizens have the right to change government,(2) Right exists but some problems,(3) Citizens have freedom of speech,0,(1) Low - minor problems only,"(0) No reconciliation, consensus",(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(1) Low - minor problems only,1,0,1
2446,2445,Latvia                      ,1998,367,(10) October,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,5,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,1,0
2450,2449,Latvia                      ,2002,367,(10) October,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,6,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
2470,2469,Lebanon                     ,1992,660,(8) August,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,4,(0) Otherwise,(0) Otherwise,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,1,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(1) Low - minor problems only,(1) Low - minor problems only,(3) High - major problems,(2) Moderate - moderate problems,(2) Moderate - moderate problems,(0) Good - no problems,(0) Good - no problems,0,0,4
2474,2473,Lebanon                     ,1996,660,(9) September,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,8,(0) Otherwise,(0) Otherwise,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,1,(3) High - major problems,(1) One variable had to be reconciled,(2) Moderate - moderate problems,(1) Low - minor problems only,(2) Moderate - moderate problems,(0) Good - no problems,(3) High - major problems,(0) Good - no problems,(2) Moderate - moderate problems,1,0,5
2478,2477,Lebanon                     ,2000,660,(9) September,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,8,(0) Otherwise,(1) Presence of International Observers,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,1,(2) Moderate - moderate problems,(1) One variable had to be reconciled,(2) Moderate - moderate problems,(1) Low - minor problems only,(3) High - major problems,(1) Low - minor problems only,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,2,0,4
2480,2479,Lebanon                     ,2002,660,(6) June,NA,(1) Legislative Election,(0) Otherwise,NA,NA,NA,8,(0) Otherwise,(1) Presence of International Observers,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,1,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",NA,NA,NA,NA,NA,NA,NA,0,0,4
2501,2500,Lesotho                     ,1993,570,(3) March,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,5,4,(1) Presence of Domestic Observers,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
2506,2505,Lesotho                     ,1998,570,(5) May,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,7,(0) Otherwise,(1) Presence of International Observers,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(1) Low - minor problems only,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,(1) Low - minor problems only,1,0,1
2510,2509,Lesotho                     ,2002,570,(5) May,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,5,(0) Otherwise,(1) Presence of International Observers,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
2523,2522,Liberia                     ,1985,450,(10) October,(10) October,(1) Legislative Election,(1) Executive Election,NA,NA,10,7,(0) Otherwise,(0) Otherwise,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,1,(3) High - major problems,(1) One variable had to be reconciled,(2) Moderate - moderate problems,(2) Moderate - moderate problems,(2) Moderate - moderate problems,NA,(3) High - major problems,(0) Good - no problems,(1) Low - minor problems only,3,0,5
2535,2534,Liberia                     ,1997,450,(7) July,(7) July,(1) Legislative Election,(1) Executive Election,(0) Otherwise,(0) Otherwise,NA,7,(0) Otherwise,(1) Presence of International Observers,(3) Citizens have the right to change government,(2) Right exists but some problems,(2) Right exists but some problems,0,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(1) Low - minor problems only,(1) Low - minor problems only,(3) High - major problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,2
2574,2573,Lithuania                   ,1992,368,(11) November,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(1) Run-off Election,4,6,(0) Otherwise,(1) Presence of International Observers,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
2575,2574,Lithuania                   ,1993,368,NA,(2) February,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,4,3,(0) Otherwise,(1) Presence of International Observers,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
2578,2577,Lithuania                   ,1996,368,(11) November,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,3,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
2579,2578,Lithuania                   ,1997,368,NA,(12) December,(0) Otherwise,(1) Executive Election,NA,NA,NA,2,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(1) Citizens do not have freedom of association,(1) Citizens do not have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
2582,2581,Lithuania                   ,2000,368,(10) October,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,4,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
2584,2583,Lithuania                   ,2002,368,NA,(12) December,(0) Otherwise,(1) Executive Election,(0) Otherwise,(1) Run-off Election,NA,5,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
2586,2585,Lithuania                   ,2004,368,NA,(6) June,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,NA,8,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(1) Low - minor problems only,"(0) No reconciliation, consensus",(0) Good - no problems,(2) Moderate - moderate problems,(0) Good - no problems,(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,0,0,1
2587,2586,Lithuania                   ,2004,368,(10) October,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,8,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(1) Low - minor problems only,"(0) No reconciliation, consensus",(0) Good - no problems,(2) Moderate - moderate problems,(0) Good - no problems,(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,1,0,1
2592,2591,Luxembourg                  ,1979,212,(6) June,NA,(1) Legislative Election,(0) Otherwise,NA,NA,2,1,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
2597,2596,Luxembourg                  ,1984,212,(6) June,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,3,1,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
2602,2601,Luxembourg                  ,1989,212,(6) June,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,3,2,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,NA,NA,NA,NA,NA,NA,0,0,0
2607,2606,Luxembourg                  ,1994,212,(6) June,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,2,3,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
2612,2611,Luxembourg                  ,1999,212,(6) June,NA,(1) Legislative Election,(0) Otherwise,NA,NA,NA,3,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,NA,NA,NA,NA,NA,NA,0,0,0
2617,2616,Luxembourg                  ,2004,212,(6) June,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,4,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,1,0,0
2621,2620,Macedonia                   ,1994,343,(10) October,(10) October,(1) Legislative Election,(1) Executive Election,(0) Otherwise,(0) Otherwise,4,4,(0) Otherwise,(1) Presence of International Observers,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(2) Moderate - moderate problems,(1) One variable had to be reconciled,(1) Low - minor problems only,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,(2) Moderate - moderate problems,0,0,2
2625,2624,Macedonia                   ,1998,343,(11) November,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,5,(0) Otherwise,(1) Presence of International Observers,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(1) Low - minor problems only,"(0) No reconciliation, consensus",(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,1
2626,2625,Macedonia                   ,1999,343,NA,(12) December,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,NA,6,(0) Otherwise,(1) Presence of International Observers,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(0) Good - no problems,(2) Moderate - moderate problems,(0) Good - no problems,(0) Good - no problems,(2) Moderate - moderate problems,(0) Good - no problems,(0) Good - no problems,1,0,2
2629,2628,Macedonia                   ,2002,343,(9) September,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,12,(0) Otherwise,(1) Presence of International Observers,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(1) Low - minor problems only,"(0) No reconciliation, consensus",(0) Good - no problems,(1) Low - minor problems only,(1) Low - minor problems only,(0) Good - no problems,(1) Low - minor problems only,(1) Low - minor problems only,(0) Good - no problems,2,0,1
2631,2630,Macedonia                   ,2004,343,NA,(4) April,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,NA,6,(0) Otherwise,(1) Presence of International Observers,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(1) Low - minor problems only,"(0) No reconciliation, consensus",(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,2,0,1
2640,2639,Madagascar                  ,1982,580,NA,(11) November,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,6,2,(0) Otherwise,(0) Otherwise,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,0.5,(2) Moderate - moderate problems,(1) One variable had to be reconciled,(2) Moderate - moderate problems,(0) Good - no problems,NA,(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,2,0,3
2641,2640,Madagascar                  ,1983,580,(8) August,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,5,4,(0) Otherwise,(0) Otherwise,(2) Right exists but some problems,(1) Citizens do not have freedom of association,(2) Right exists but some problems,0.5,(2) Moderate - moderate problems,(1) One variable had to be reconciled,(2) Moderate - moderate problems,(0) Good - no problems,NA,(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,1,0,3
2647,2646,Madagascar                  ,1989,580,NA,(3) March,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,6,6,(0) Otherwise,(1) Presence of International Observers,(2) Right exists but some problems,(1) Citizens do not have freedom of association,(2) Right exists but some problems,0.5,(3) High - major problems,(1) One variable had to be reconciled,(2) Moderate - moderate problems,(2) Moderate - moderate problems,NA,(0) Good - no problems,(2) Moderate - moderate problems,(2) Moderate - moderate problems,(0) Good - no problems,3,0,NA
2648,2647,Madagascar                  ,1989,580,(5) May,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,6,6,(0) Otherwise,(1) Presence of International Observers,(2) Right exists but some problems,(1) Citizens do not have freedom of association,(2) Right exists but some problems,0.5,(3) High - major problems,(1) One variable had to be reconciled,(2) Moderate - moderate problems,(2) Moderate - moderate problems,NA,NA,(2) Moderate - moderate problems,(2) Moderate - moderate problems,(0) Good - no problems,3,0,NA
2651,2650,Madagascar                  ,1992,580,NA,(11) November,(0) Otherwise,(1) Executive Election,(1) Transition or Transitional Election,(1) Run-off Election,5,7,(0) Otherwise,(1) Presence of International Observers,(2) Right exists but some problems,(2) Right exists but some problems,(3) Citizens have freedom of speech,0,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,NA,(0) Good - no problems,1,2,2
2653,2651,Madagascar                  ,1993,580,(6) June,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,5,7,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(2) Right exists but some problems,(2) Right exists but some problems,0,(1) Low - minor problems only,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(2) Moderate - moderate problems,(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,(1) Low - minor problems only,2,0,1
2656,2654,Madagascar                  ,1996,580,NA,(11) November,(0) Otherwise,(1) Executive Election,(0) Otherwise,(1) Run-off Election,NA,5,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
2658,2656,Madagascar                  ,1998,580,(5) May,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,5,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(1) Low - minor problems only,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(2) Moderate - moderate problems,(0) Good - no problems,(0) Good - no problems,0,0,1
2661,2659,Madagascar                  ,2001,580,NA,(12) December,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,NA,5,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(2) Right exists but some problems,(2) Right exists but some problems,0,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(2) Moderate - moderate problems,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(2) Moderate - moderate problems,1,1,2
2662,2660,Madagascar                  ,2002,580,(12) December,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,11,(0) Otherwise,(1) Presence of International Observers,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,0,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(2) Moderate - moderate problems,(1) Low - minor problems only,(3) High - major problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(1) Low - minor problems only,2,0,2
2668,2666,Malawi                      ,1978,553,(6) June,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,5,3,(0) Otherwise,(0) Otherwise,(1) Citizens do not have right to change government,(1) Citizens do not have freedom of association,(1) Citizens do not have freedom of speech,1,(3) High - major problems,(1) One variable had to be reconciled,(3) High - major problems,(2) Moderate - moderate problems,NA,NA,NA,NA,NA,1,0,5
2673,2671,Malawi                      ,1983,553,(6) June,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,6,2,(0) Otherwise,(0) Otherwise,(1) Citizens do not have right to change government,(2) Right exists but some problems,(1) Citizens do not have freedom of speech,1,(3) High - major problems,"(0) No reconciliation, consensus",(3) High - major problems,(3) High - major problems,NA,NA,NA,NA,NA,2,0,5
2677,2675,Malawi                      ,1987,553,(5) May,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,6,2,(0) Otherwise,(0) Otherwise,(1) Citizens do not have right to change government,(1) Citizens do not have freedom of association,(1) Citizens do not have freedom of speech,1,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(2) Moderate - moderate problems,(2) Moderate - moderate problems,(0) Good - no problems,(0) Good - no problems,NA,(0) Good - no problems,(0) Good - no problems,0,0,4
2682,2680,Malawi                      ,1992,553,(6) June,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,6,4,(0) Otherwise,(0) Otherwise,(1) Citizens do not have right to change government,(1) Citizens do not have freedom of association,(1) Citizens do not have freedom of speech,1,(3) High - major problems,"(0) No reconciliation, consensus",(3) High - major problems,(2) Moderate - moderate problems,NA,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,1,0,5
2684,2682,Malawi                      ,1994,553,(5) May,(5) May,(1) Legislative Election,(1) Executive Election,(0) Otherwise,(0) Otherwise,5,5,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(1) Low - minor problems only,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,NA,(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,1,0,1
2689,2687,Malawi                      ,1999,553,(6) June,(6) June,(1) Legislative Election,(1) Executive Election,(0) Otherwise,(0) Otherwise,NA,4,(1) Presence of Domestic Observers,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(1) Low - minor problems only,"(0) No reconciliation, consensus",(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,(2) Moderate - moderate problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,1
